Date,PETR4,VALE3,ITUB4,BBAS3,EMBR3,B3SA3,CSMG3,RADL3,PRIO3,ELET3,HAPV3,RAIL3,EQTL3,LREN3,SBSP3,PSA3,ABEV3,WEGE3,RENT3,VIVT3
2022-01-03,30.0,60.0,25.0,35.0,15.0,12.0,20.0,30.0,25.0,40.0,10.0,18.0,28.0,32.0,40.0,20.0,15.0,35.0,45.0,45.0
2022-01-04,29.577396927564298,59.345275809421324,25.271565354531422,35.726801905925676,15.113802448491931,11.995635080077118,20.299272424402083,30.223188847276074,25.952828867014148,40.50183770467187,10.046119631115767,17.9091356124106,27.54556487020264,32.76317107693264,39.46765239691423,20.386819528567294,14.885128897745787,35.019430352229726,44.6263187983087,44.349579737299706
2022-01-05,29.69735123074624,57.64881879115153,26.198017438166612,34.91506953322271,15.228100670260822,12.221513403913768,20.41546388904091,29.212668365021884,25.984062490994795,41.17945753869046,10.073331561714967,17.646645102761287,27.8842112245583,33.03028762225456,39.6273463205319,19.676422404919187,14.898288677516375,35.50254999634951,44.9975024803974,45.848812176670535
2022-01-06,30.002854275031282,58.182636503756726,26.626037128510415,35.344966273513364,15.11634218094161,12.585645557065765,20.58885091153061,29.20301516615015,26.666408496454974,41.196279118915385,10.284663068705502,17.697022939573078,27.69328584465065,33.01763634727876,39.07389847992877,19.424950564228745,15.087724791223042,34.83297522526443,45.101566582497696,45.17806899650715
2022-01-07,30.22117291902746,58.84147556181918,26.17363451689123,34.592556745817575,15.121672122868722,12.582905013616733,20.540175433439185,30.18212103120796,26.28511391821396,40.4643259106901,10.284214182162835,17.494430023222865,27.77929086095126,31.980133949799967,39.664815612537566,19.76371776527588,14.77960745157731,35.64051110306419,43.66664524363333,45.00847778284408
2022-01-10,29.869183937544232,58.60594977623974,25.934773097550057,35.29055342221818,15.128977167189207,12.546348115297294,20.87312330622182,29.378434131719164,26.525682268162036,40.922901543892934,10.069378338112443,17.554849693316914,27.461369887510603,32.45676751895314,40.47231808677446,19.77591963956939,14.766993185107715,35.54032134387246,43.94590085066776,45.150668740987186
2022-01-11,30.28696971598398,58.94674448125222,26.317803694395515,34.31509655474852,15.147138416370755,12.74797652724572,20.36639409846162,29.715965053303172,26.907950971117028,41.17087470415248,10.072647100538473,18.364836820805866,28.25150811015505,33.647298942779464,40.62770071578006,19.461586449864374,15.021171872470322,35.29474831003939,43.796042599701565,45.37113588289751
2022-01-12,30.56794508544661,60.45455191983532,26.31348733215733,33.88600288638534,15.57687902854211,12.765870002650301,20.755017346534743,29.410330935916132,26.28300636464393,41.04721189147511,10.163666417396332,18.523212603635596,27.92013747871662,34.89617979460485,40.397839049763405,19.4699211107822,15.122756899238352,35.635923518102224,43.444570051060474,46.051780238720895
2022-01-13,30.852894464201523,61.420126912374094,26.847381211250223,33.52583072266673,15.528666399371222,12.924384076063264,20.66628074521152,30.290105460975404,26.21815825011269,41.03228784099037,10.371685909158588,18.796172525397903,27.992860750032055,35.16654096177516,40.51656187945815,19.396286216393968,14.960019339470728,35.839755769527684,43.6854831752263,45.909149970767686
2022-01-14,31.156232379581837,62.08264600631182,26.02123807339643,32.273691869940215,15.479043771782639,13.235116050284647,20.612382148959544,30.059921585453175,26.463935057184045,40.91474334458277,10.700469171786178,18.53564961566585,27.88940618778849,34.87197635102165,40.36943263100808,19.16041107146836,14.81755031513618,35.46174419140639,44.29281089912006,46.538911115745606
2022-01-17,31.605292615725716,62.73423052049024,26.95247118906081,32.79342186281315,15.397296374449368,13.35038597286138,20.264836242509492,29.742442372980328,27.330211741514226,41.111485077114736,10.470659168453729,18.241369471559036,28.675528718154975,35.360350717390766,39.9544549301857,18.85601927079334,14.833168631355452,35.73657116534458,44.28822736462416,45.38584004052285
2022-01-18,32.524063013465955,61.983704144526286,27.813003335073546,31.889716731101203,15.607016736391866,13.570098821106393,19.738913572841238,30.69906625665813,27.22718254994892,41.26882831714778,10.378152002422723,18.5167351546591,28.79579715146596,34.359502833884555,39.70404907949582,18.973688177627146,15.1039122618298,35.24485559511879,43.29467512969939,45.4987207165508
2022-01-19,32.28726732315769,62.88546111692348,27.176155071856694,31.149525304397347,15.533442925626952,13.126842481224037,19.597091277537274,31.462484347110646,27.565250763264363,40.76229301076108,10.356070248557412,18.20489377794141,28.44147771363991,34.136045676619176,39.8062629048898,18.820887723646067,15.028663431577234,35.747762030441166,42.925414664826285,45.45451372931341
2022-01-20,32.31930023857936,61.43054600845457,27.059766381792222,30.842074054828313,15.523574380573093,13.335454477862779,19.832991837274317,31.28641978549262,27.37645255313257,40.817415827036676,10.513992843087713,17.907449097252904,28.309036794474927,34.47000441297101,40.38765083834029,17.954243681355454,15.223761383278491,35.78971512721553,43.23420235154174,44.79405562286151
2022-01-21,33.054664380137424,61.164798480915096,26.80845262719972,31.276673500607824,15.704229828811442,13.312284721862877,19.93542812299892,30.18135087553161,27.74601250514955,40.44665531836388,10.487824008677032,18.053909349371747,28.02213870078889,34.721379001366465,40.686918036582995,17.939113839137654,15.039473868804198,35.84815716838099,43.69313134582277,44.54942941432669
2022-01-24,32.515033477386645,60.807445117828024,26.661730865947895,30.82761664346491,15.863154364659996,13.140447430413335,20.22400254111583,29.292598847143935,28.66070030428956,39.74207216319973,10.38884169963692,17.911519501371007,27.707758272161566,34.936534528323264,40.18250486738489,17.774465969139232,14.977392839915291,35.62583247768373,43.04495527203969,43.45984656284641
2022-01-25,32.66163766327235,59.331748020655695,27.115216978844845,31.980918017185562,15.677041097409672,13.12012941531119,20.155108862516098,29.563861036248436,29.23798053301067,39.7122640055714,10.355865566265587,18.126349394151546,27.680084354507926,34.20504474842585,39.02937678590335,17.60946335385049,14.913501365347917,36.0224965257332,42.18155057401848,42.8227555734789
2022-01-26,32.3921460425462,59.26518729269605,26.915031085154407,31.979042732482352,16.047283364410262,12.904118165107608,20.229540348263164,29.849204362688656,28.69331575085212,40.25594438890351,10.158108492167516,17.841261021980834,27.202430480833954,33.28229894394663,38.4196152985239,17.629482900523755,15.056043356819636,35.830970726576254,42.163541345253364,42.87339749969563
2022-01-27,32.39691108541389,60.72221972483691,26.540697290480455,31.82324850984616,16.111149114453475,12.694186808041591,20.187619163810897,29.092184846764685,28.280732562061417,40.48444570883739,10.059205526895846,18.14329214977335,27.467515356654257,33.439426737378824,38.08688715190163,17.432924195294373,15.097761467461785,35.16748519236353,43.13963653335837,42.322942473094166
2022-01-28,32.604203946130845,60.45249788514562,26.886755024599783,32.097846870167615,16.313077216857007,12.331435026551622,19.84183289500423,29.800530770616803,27.76087417508475,40.73865280968736,10.128526637162436,17.4202865072552,26.862001630532333,33.92221293089303,38.67611263861272,17.474288120704397,15.36941532616501,34.2686476679748,44.30931372465056,41.55118811351941
2022-01-31,31.833158602879642,59.432282810075115,27.52848056041754,32.0337343433419,16.389049426697884,12.224797485143391,19.81591920061197,30.125927361069603,27.612409249299567,41.595176929717454,10.119903453299964,17.147790989199308,26.90130709248244,33.77133656360827,38.544056993224295,17.639178476441867,15.372085071638711,35.46968625754425,44.64633278106389,40.48766828217354
